column,group,description
hpid,hospital_master,기관 ID
old_hpid,hospital_master,구 기관 ID
hospital_name,hospital_master,병원명
dutyAddr,hospital_master,주소
sido,hospital_master,시도
sigungu,hospital_master,시군구
emergency_type_code,hospital_master,응급의료기관 분류 코드
emergency_type_name,hospital_master,응급의료기관 분류명
tel_main,hospital_master,대표전화
emergency_tel,hospital_master,응급실 전화
lat,hospital_master,위도
lon,hospital_master,경도
hpid,realtime_beds,원본 컬럼 hpid 기반 실시간 병상/장비/기준병상 정보
old_hpid,realtime_beds,원본 컬럼 phpid 기반 실시간 병상/장비/기준병상 정보
realtime_hospital_name,realtime_beds,원본 컬럼 dutyName 기반 실시간 병상/장비/기준병상 정보
realtime_hospital_name,realtime_beds,원본 컬럼 dutyname 기반 실시간 병상/장비/기준병상 정보
realtime_emergency_tel,realtime_beds,원본 컬럼 dutyTel3 기반 실시간 병상/장비/기준병상 정보
realtime_updated_at,realtime_beds,원본 컬럼 hvidate 기반 실시간 병상/장비/기준병상 정보
avail_er_general_beds,realtime_beds,원본 컬럼 hvec 기반 실시간 병상/장비/기준병상 정보
avail_operating_rooms,realtime_beds,원본 컬럼 hvoc 기반 실시간 병상/장비/기준병상 정보
avail_icu_neurology,realtime_beds,원본 컬럼 hvcc 기반 실시간 병상/장비/기준병상 정보
avail_icu_neonatal,realtime_beds,원본 컬럼 hvncc 기반 실시간 병상/장비/기준병상 정보
avail_icu_thoracic_surgery,realtime_beds,원본 컬럼 hvccc 기반 실시간 병상/장비/기준병상 정보
avail_icu_general,realtime_beds,원본 컬럼 hvicc 기반 실시간 병상/장비/기준병상 정보
avail_inpatient_general_beds,realtime_beds,원본 컬럼 hvgc 기반 실시간 병상/장비/기준병상 정보
available_ct_yn,realtime_beds,원본 컬럼 hvctayn 기반 실시간 병상/장비/기준병상 정보
available_mri_yn,realtime_beds,원본 컬럼 hvmriayn 기반 실시간 병상/장비/기준병상 정보
available_angio_yn,realtime_beds,원본 컬럼 hvangioayn 기반 실시간 병상/장비/기준병상 정보
available_ventilator_yn,realtime_beds,원본 컬럼 hvventiayn 기반 실시간 병상/장비/기준병상 정보
available_ventilator_premature_yn,realtime_beds,원본 컬럼 hvventisoayn 기반 실시간 병상/장비/기준병상 정보
available_incubator_yn,realtime_beds,원본 컬럼 hvincuayn 기반 실시간 병상/장비/기준병상 정보
available_crrt_yn,realtime_beds,원본 컬럼 hvcrrtayn 기반 실시간 병상/장비/기준병상 정보
available_ecmo_yn,realtime_beds,원본 컬럼 hvecmoayn 기반 실시간 병상/장비/기준병상 정보
available_hyperbaric_oxygen_yn,realtime_beds,원본 컬럼 hvoxyayn 기반 실시간 병상/장비/기준병상 정보
available_targeted_temperature_management_yn,realtime_beds,원본 컬럼 hvhypoayn 기반 실시간 병상/장비/기준병상 정보
available_ambulance_yn,realtime_beds,원본 컬럼 hvamyn 기반 실시간 병상/장비/기준병상 정보
er_doctor_direct_phone,realtime_beds,원본 컬럼 hv1 기반 실시간 병상/장비/기준병상 정보
avail_icu_internal_medicine,realtime_beds,원본 컬럼 hv2 기반 실시간 병상/장비/기준병상 정보
avail_icu_surgery,realtime_beds,원본 컬럼 hv3 기반 실시간 병상/장비/기준병상 정보
avail_orthopedic_inpatient_beds,realtime_beds,원본 컬럼 hv4 기반 실시간 병상/장비/기준병상 정보
ct_status,realtime_beds,원본 컬럼 hv5 기반 실시간 병상/장비/기준병상 정보
avail_icu_neurosurgery,realtime_beds,원본 컬럼 hv6 기반 실시간 병상/장비/기준병상 정보
angio_status,realtime_beds,원본 컬럼 hv7 기반 실시간 병상/장비/기준병상 정보
avail_icu_burn,realtime_beds,원본 컬럼 hv8 기반 실시간 병상/장비/기준병상 정보
avail_icu_trauma,realtime_beds,원본 컬럼 hv9 기반 실시간 병상/장비/기준병상 정보
pediatric_ventilator_status,realtime_beds,원본 컬럼 hv10 기반 실시간 병상/장비/기준병상 정보
incubator_status,realtime_beds,원본 컬럼 hv11 기반 실시간 병상/장비/기준병상 정보
pediatric_doctor_direct_phone,realtime_beds,원본 컬럼 hv12 기반 실시간 병상/장비/기준병상 정보
avail_isolation_negative_pressure_area_beds,realtime_beds,원본 컬럼 hv13 기반 실시간 병상/장비/기준병상 정보
avail_isolation_general_area_beds,realtime_beds,원본 컬럼 hv14 기반 실시간 병상/장비/기준병상 정보
avail_pediatric_negative_pressure_isolation,realtime_beds,원본 컬럼 hv15 기반 실시간 병상/장비/기준병상 정보
avail_pediatric_general_isolation,realtime_beds,원본 컬럼 hv16 기반 실시간 병상/장비/기준병상 정보
avail_er_dedicated_icu_negative_pressure,realtime_beds,원본 컬럼 hv17 기반 실시간 병상/장비/기준병상 정보
