hpid,old_hpid_x,hospital_name,dutyAddr,sido,sigungu,emergency_type_code,emergency_type_name,tel_main,emergency_tel,lat,lon,realtime_hospital_name,realtime_emergency_tel,pediatric_ventilator_status,incubator_status,avail_er_dedicated_icu_negative_pressure,avail_er_dedicated_icu_general_isolation,avail_icu_internal_medicine,avail_pediatric_beds,avail_er_negative_pressure_isolation_beds,avail_icu_surgery,avail_er_general_isolation_beds,avail_er_dedicated_icu,avail_er_dedicated_inpatient_beds,delivery_room_status,ct_status,angio_status,available_ambulance_yn,available_angio_yn,available_crrt_yn,available_ct_yn,avail_er_general_beds,available_ecmo_yn,avail_inpatient_general_beds,available_targeted_temperature_management_yn,realtime_updated_at,available_incubator_yn,available_mri_yn,avail_icu_neonatal,avail_operating_rooms,available_hyperbaric_oxygen_yn,standard_er_general_beds,standard_pediatric_beds,standard_er_negative_pressure_isolation_beds,standard_er_general_isolation_beds,standard_er_dedicated_icu,standard_icu_internal_medicine,standard_icu_surgery,standard_icu_neonatal,standard_er_dedicated_inpatient_beds,standard_operating_rooms,standard_delivery_rooms,standard_ct,standard_mri,standard_angio,standard_ventilator_general,standard_ventilator_premature,standard_incubator,standard_crrt,standard_ecmo,standard_targeted_temperature_management,standard_hyperbaric_oxygen,standard_inpatient_general_beds,standard_er_dedicated_icu_negative_pressure,standard_er_dedicated_icu_general_isolation,available_ventilator_yn,available_ventilator_premature_yn,old_hpid_y,avail_icu_negative_pressure_isolation,avail_psychiatric_closed_ward_beds,avail_icu_general,standard_icu_general,standard_icu_negative_pressure_isolation,standard_psychiatric_closed_ward_beds,avail_infection_moderate_beds,avail_inpatient_negative_pressure_isolation,standard_inpatient_negative_pressure_isolation,standard_infection_moderate_beds,query_sido,query_sigungu,avail_cohort_isolation,standard_cohort_isolation,avail_infection_severe_beds,avail_infection_semi_severe_beds,avail_trauma_dedicated_inpatient_beds,avail_trauma_dedicated_operating_rooms,avail_icu_neurosurgery,avail_trauma_resuscitation_room,avail_trauma_patient_care_area,avail_icu_trauma,standard_icu_neurosurgery,standard_icu_trauma,standard_trauma_dedicated_inpatient_beds,standard_trauma_dedicated_operating_rooms,standard_infection_severe_beds,standard_infection_semi_severe_beds,standard_trauma_resuscitation_room,standard_trauma_patient_care_area,avail_burn_treatment_room,standard_burn_treatment_room,avail_isolation_negative_pressure_area_beds,avail_isolation_general_area_beds,avail_icu_neurology,standard_icu_neurology,standard_isolation_negative_pressure_area_beds,standard_isolation_general_area_beds,avail_icu_pediatric,avail_icu_cardiology,standard_icu_pediatric,standard_icu_cardiology,avail_pediatric_general_isolation,avail_er_dedicated_inpatient_negative_pressure,avail_er_dedicated_inpatient_general_isolation,avail_infectious_disease_icu_beds,avail_infectious_disease_icu_negative_pressure_beds,standard_pediatric_general_isolation,standard_er_dedicated_inpatient_negative_pressure,standard_er_dedicated_inpatient_general_isolation,standard_infectious_disease_icu_beds,standard_infectious_disease_icu_negative_pressure_beds,avail_icu_thoracic_surgery,standard_icu_thoracic_surgery,avail_pediatric_negative_pressure_isolation,avail_er_dedicated_pediatric_icu,avail_er_dedicated_pediatric_inpatient_beds,standard_er_dedicated_pediatric_icu,standard_er_dedicated_pediatric_inpatient_beds,standard_pediatric_negative_pressure_isolation,collected_at,severe_hospital_name,severe_myocardial_infarction_reperfusion_yn,severe_infant_intussusception_obstruction_yn,severe_adult_gi_emergency_endoscopy_yn,severe_infant_gi_emergency_endoscopy_yn,severe_adult_bronchial_emergency_endoscopy_yn,severe_infant_bronchial_emergency_endoscopy_yn,severe_low_birth_weight_infant_intensive_care_yn,severe_obstetric_delivery_yn,severe_obstetric_surgery_yn,severe_gynecologic_surgery_yn,severe_burn_specialized_treatment_yn,severe_cerebral_infarction_reperfusion_yn,severe_finger_toe_replantation_yn,severe_other_limb_replantation_yn,severe_emergency_dialysis_hd_yn,severe_emergency_dialysis_crrt_yn,severe_psychiatric_emergency_closed_ward_yn,severe_ophthalmic_emergency_surgery_yn,severe_adult_interventional_radiology_yn,severe_infant_interventional_radiology_yn,severe_er_gatekeeper_yn,severe_subarachnoid_hemorrhage_surgery_yn,severe_other_cerebral_hemorrhage_surgery_yn,severe_thoracic_aortic_emergency_yn,severe_abdominal_aortic_emergency_yn,severe_gallbladder_disease_yn,severe_biliary_tract_disease_yn,severe_nontraumatic_abdominal_emergency_surgery_yn,severe_infant_intussusception_obstruction_msg,severe_infant_gi_emergency_endoscopy_msg,severe_low_birth_weight_infant_msg,severe_infant_interventional_radiology_msg,query_sido_severe,query_sigungu_severe,severe_infant_bronchial_emergency_endoscopy_msg,severe_collected_at
A1100035,A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),서울특별시,중랑구,G001,권역응급의료센터,02-2276-7000,02-2276-7000,37.61286931510163,127.0980910949257,서울특별시서울의료원,02-2276-7000,Y,Y,2.0,0.0,1.0,2.0,2.0,,3.0,9.0,14.0,Y,Y,Y,Y,Y,Y,Y,0.0,Y,134.0,Y,20260523193501,Y,Y,0.0,10.0,Y,19.0,3.0,2.0,3.0,14.0,7.0,,3.0,30.0,10.0,4.0,4.0,3.0,3.0,65.0,5.0,12.0,7.0,2.0,4.0,2.0,461.0,2.0,4.0,Y,Y,A1100035,,14.0,1.0,5.0,,30.0,,5.0,5.0,,서울특별시,중랑구,,,,,,,0.0,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,서울특별시서울의료원,Y,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,서울특별시,중랑구,,2026-05-23 19:35:48
A1100044,A1100044,녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),서울특별시,중랑구,G007,지역응급의료기관,02-490-2000,02-490-2113,37.58362083896108,127.08605546969356,녹색병원,02-490-2113,,,,,,,1.0,,4.0,,,Y,Y,,Y,N1,Y,Y,2.0,N1,103.0,N1,20260523193506,N1,Y,,3.0,N1,5.0,,1.0,4.0,,,,,,3.0,1.0,2.0,1.0,,22.0,,,1.0,,,,293.0,,,Y,N1,A1100044,2.0,,8.0,17.0,3.0,,,1.0,3.0,,서울특별시,중랑구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,녹색병원,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,서울특별시,중랑구,,2026-05-23 19:35:48
A1100075,A1100075,의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",서울특별시,중랑구,G007,지역응급의료기관,02-437-5011,02-490-8880,37.60067564592665,127.1090292210168,의료법인풍산의료재단동부제일병원,02-490-8880,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,7.0,N1,49.0,N1,20260523193018,N1,N,,2.0,N1,7.0,,,1.0,,,,,,2.0,,1.0,1.0,,3.0,,,,,,,124.0,,,Y,N1,A1100075,,,,,,,,,,,서울특별시,중랑구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인풍산의료재단동부제일병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,서울특별시,중랑구,,2026-05-23 19:35:48
A1100052,A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",서울특별시,중구,G006,지역응급의료센터,02-2260-7114,02-2276-2114,37.56733955813183,127.00579539705473,국립중앙의료원,02-2276-2114,N,Y,,,,3.0,2.0,0.0,3.0,1.0,0.0,Y,Y,Y,Y,Y,Y,Y,8.0,Y,0.0,Y,20260523193404,Y,Y,,7.0,N1,15.0,3.0,2.0,3.0,6.0,,0.0,,0.0,7.0,1.0,1.0,1.0,2.0,56.0,1.0,3.0,5.0,5.0,2.0,,202.0,,,Y,N,A1100052,2.0,,3.0,13.0,2.0,,0.0,4.0,7.0,0.0,서울특별시,중구,5.0,5.0,,0.0,8.0,2.0,,2.0,6.0,4.0,,20.0,50.0,2.0,,0.0,2.0,6.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,2026-05-23 19:35:48,국립중앙의료원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,N,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,,,,,서울특별시,중구,,2026-05-23 19:35:48
A1100032,A1100032,세란병원,서울특별시 종로구 통일로 256 (무악동),서울특별시,종로구,G007,지역응급의료기관,02-737-0181,02-737-0181,37.57534016994642,126.9577071892358,세란병원,02-737-0181,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,5.0,N1,64.0,N1,20260523193402,N1,Y,,13.0,N1,10.0,,,1.0,,,,,,13.0,,3.0,5.0,,3.0,,,,,,,205.0,,,Y,N1,A1100032,,,,,,,,,,,서울특별시,종로구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,세란병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,서울특별시,종로구,,2026-05-23 19:35:48
A1100029,A1100029,서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",서울특별시,종로구,G007,지역응급의료기관,02-2002-8000,02-2002-8888,37.56715536263689,126.96699861289684,서울적십자병원,02-2002-8888,,,,,,,1.0,,,,,,Y,,Y,N1,Y,Y,10.0,N1,90.0,N1,20260523193354,N1,Y,,6.0,N1,10.0,,1.0,,,,,,,6.0,,1.0,1.0,,11.0,,,2.0,,,,260.0,,,Y,N1,A1100029,,,6.0,12.0,,,,,,,서울특별시,종로구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,서울적십자병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,서울특별시,종로구,,2026-05-23 19:35:48
A1100006,A1100006,강북삼성병원,서울특별시 종로구 새문안로 29 (평동),서울특별시,종로구,G006,지역응급의료센터,02-2001-2001,02-2001-1000,37.56849763123383,126.96793805451702,강북삼성병원,02-2001-1000,Y,Y,,,,2.0,1.0,1.0,2.0,,,Y,Y,Y,Y,Y,Y,Y,2.0,Y,116.0,Y,20260523193516,Y,Y,-1.0,15.0,N1,15.0,2.0,1.0,2.0,,,4.0,7.0,,16.0,1.0,3.0,3.0,5.0,47.0,9.0,11.0,5.0,5.0,2.0,,528.0,,,Y,Y,A1100006,3.0,7.0,5.0,24.0,5.0,18.0,,2.0,3.0,,서울특별시,종로구,,,,,,,2.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,,,,2026-05-23 19:35:48,강북삼성병원,Y,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,서울특별시,종로구,,2026-05-23 19:35:48
A1107402,A1107402,서울대학교치과병원,서울특별시 종로구 대학로 101 (연건동),서울특별시,종로구,G009,응급실운영신고기관,1522-2700,02-6256-3362,37.5804523853297,126.997196437908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1100017,A1100017,서울대학교병원,서울특별시 종로구 대학로 101 (연건동),서울특별시,종로구,G001,권역응급의료센터,02-1588-5700,02-2072-2475,37.57966608924356,126.99896308412193,서울대학교병원,02-2072-2475,Y,Y,0.0,0.0,1.0,5.0,2.0,8.0,4.0,16.0,19.0,Y,Y,Y,Y,Y,Y,Y,-1.0,Y,379.0,Y,20260523193509,Y,Y,8.0,52.0,N1,24.0,10.0,2.0,4.0,17.0,10.0,18.0,40.0,30.0,53.0,4.0,13.0,13.0,14.0,160.0,19.0,46.0,22.0,9.0,3.0,,1365.0,2.0,1.0,Y,Y,A1100017,13.0,4.0,,,28.0,41.0,,5.0,7.0,,서울특별시,종로구,,,,2.0,,,1.0,,,,5.0,,,,,8.0,,,,1.0,,,10.0,10.0,,,4.0,4.0,22.0,8.0,1.0,,,0.0,0.0,1.0,,,0.0,0.0,3.0,10.0,1.0,0.0,6.0,2.0,6.0,1.0,2026-05-23 19:35:48,서울대학교병원,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,,,서울특별시,종로구,,2026-05-23 19:35:48
A1100023,A1100023,의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),서울특별시,은평구,G007,지역응급의료기관,02-350-3300,02-383-0129,37.62079154435882,126.91955399169244,의료법인청구성심병원,02-383-0129,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,8.0,N1,45.0,N1,20260523193242,N1,Y,,3.0,N1,10.0,,,1.0,,,,,,3.0,,1.0,1.0,,4.0,,,,,,,196.0,,,Y,N1,A1100023,,,2.0,6.0,,,,,,,서울특별시,은평구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인청구성심병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,서울특별시,은평구,,2026-05-23 19:35:48
