hpid,old_hpid,hospital_name,dutyAddr,sido,sigungu,emergency_type_code,emergency_type_name,tel_main,emergency_tel,lat,lon
A1100035,A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),서울특별시,중랑구,G001,권역응급의료센터,02-2276-7000,02-2276-7000,37.61286931510163,127.0980910949257
A1100044,A1100044,녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),서울특별시,중랑구,G007,지역응급의료기관,02-490-2000,02-490-2113,37.58362083896108,127.08605546969356
A1100075,A1100075,의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",서울특별시,중랑구,G007,지역응급의료기관,02-437-5011,02-490-8880,37.60067564592665,127.1090292210168
A1100052,A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",서울특별시,중구,G006,지역응급의료센터,02-2260-7114,02-2276-2114,37.56733955813183,127.00579539705473
A1100032,A1100032,세란병원,서울특별시 종로구 통일로 256 (무악동),서울특별시,종로구,G007,지역응급의료기관,02-737-0181,02-737-0181,37.57534016994642,126.9577071892358
A1100029,A1100029,서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",서울특별시,종로구,G007,지역응급의료기관,02-2002-8000,02-2002-8888,37.56715536263689,126.96699861289684
A1100006,A1100006,강북삼성병원,서울특별시 종로구 새문안로 29 (평동),서울특별시,종로구,G006,지역응급의료센터,02-2001-2001,02-2001-1000,37.56849763123383,126.96793805451702
A1107402,A1107402,서울대학교치과병원,서울특별시 종로구 대학로 101 (연건동),서울특별시,종로구,G009,응급실운영신고기관,1522-2700,02-6256-3362,37.5804523853297,126.997196437908
A1100017,A1100017,서울대학교병원,서울특별시 종로구 대학로 101 (연건동),서울특별시,종로구,G001,권역응급의료센터,02-1588-5700,02-2072-2475,37.57966608924356,126.99896308412193
A1100023,A1100023,의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),서울특별시,은평구,G007,지역응급의료기관,02-350-3300,02-383-0129,37.62079154435882,126.91955399169244
A1121013,A1121013,가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),서울특별시,은평구,G006,지역응급의료센터,02-1811-7755,02-1811-7755,37.63360840972685,126.91615048739686
A1100152,A1100152,은평연세병원,서울특별시 은평구 연서로 177 (갈현동),서울특별시,은평구,G009,응급실운영신고기관,02-388-8114,02-388-0119,37.6146922208583,126.917472218592
A1117070,A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",서울특별시,은평구,G009,응급실운영신고기관,02-1588-3797,02-3156-8119,37.604769594378,126.923855760856
A1100004,A1100004,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59 (한남동),서울특별시,용산구,G006,지역응급의료센터,02-709-9114,02-709-9117,37.53384172231443,127.00441798640304
A1100045,A1100045,씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",서울특별시,영등포구,G007,지역응급의료기관,02-2678-0001,070-4698-7811,37.51884832876216,126.90367981067836
A1100163,A1100163,한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",서울특별시,영등포구,G009,응급실운영신고기관,02-1800-7119,02-2063-8413,37.5224047841717,126.890913736375
A1100054,A1100054,성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",서울특별시,영등포구,G006,지역응급의료센터,02-840-7114,02-840-7115,37.51205044957338,126.92236733617032
A1100055,A1100055,한림대학교강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",서울특별시,영등포구,G006,지역응급의료센터,02-829-5114,02-829-5119,37.4932492859,126.9086725295
