dutyName,dutyTel3,hpid,hv10,hv11,hv17,hv18,hv2,hv28,hv29,hv3,hv30,hv31,hv36,hv42,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvidate,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs06,hvs07,hvs08,hvs19,hvs22,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs37,hvs38,hvs50,hvs51,hvventiayn,hvventisoayn,phpid,rnum,hv35,hv40,hvicc,hvs17,hvs18,hvs24,hv26,hv41,hvs25,hvs58,query_sido,query_sigungu,hv27,hvs59,hv24,hv25,hv38,hv39,hv6,hv60,hv61,hv9,hvs12,hvs14,hvs21,hvs23,hvs56,hvs57,hvs60,hvs61,hv43,hvs36,hv13,hv14,hvcc,hvs11,hvs46,hvs47,hv32,hv34,hvs09,hvs15,hv16,hv19,hv21,hv22,hv23,hvs49,hvs52,hvs53,hvs54,hvs55,hvccc,hvs16,hv15,hv33,hv37,hvs10,hvs20,hvs48
강릉아산병원,033-610-3333,A2200008,Y,Y,0,1,1,3,2,6,2,3,15,Y,Y,Y,Y,Y,Y,Y,0,Y,137,Y,20260526115515,Y,Y,0,8,Y,23,3,2,3,18,14,16,13,38,15,2,4,3,4,33,8,12,8,5,1,2,596,1,6,Y,Y,A2200008,1,,,,,,,,,,,강원특별자치도,강릉시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인강릉동인병원,033-650-6105,A2200005,,,,,2,,1,,2,,,,Y,Y,Y,Y,Y,Y,15,N1,93,N1,20260526115537,N1,Y,,5,N1,17,,1,2,,12,,,,5,,2,1,1,14,,,1,,,,248,,,Y,N1,A2200005,2,2,10,2,12,2,101,,,,,강원특별자치도,강릉시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도강릉의료원,033-610-1234,A2200011,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,-2,N1,38,N1,20260526115501,N1,Y,,1,N1,5,,,1,,,,,,2,,1,1,,4,,,,,,,122,,,Y,N1,A2200011,3,,,3,8,,,20,5,5,20,강원특별자치도,강릉시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인동해동인병원,033-530-0129,A2200003,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,8,N1,27,N1,20260526115527,N1,Y,,0,N1,10,,,1,,,,,,2,,1,1,,7,,,,,,,178,,,Y,N1,A2200003,1,1,56,9,19,1,110,,,,,강원특별자치도,동해시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도삼척의료원,033-571-0431,A2200007,,Y,,,,1,2,,1,,,Y,Y,,Y,N1,Y,Y,16,N1,101,N1,20260526115502,Y,Y,,4,Y,16,1,2,1,,,,,,4,1,1,1,,3,,3,1,,,3,192,,,Y,N1,A2200007,1,,,0,10,,,,4,4,,강원특별자치도,삼척시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도속초의료원,033-630-6036,A2200012,Y,Y,,,,,2,,1,,,Y,Y,,Y,N1,N1,Y,17,N1,64,N1,20260526115501,Y,Y,,3,N1,17,,2,1,,,,,,3,2,1,1,,7,1,1,,,,,154,,,Y,Y,A2200012,1,,,0,8,,,,,,,강원특별자치도,속초시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인온세움의료재단온재병원,033-639-8988,A2200046,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,6,N1,92,N1,20260526115456,N1,Y,,4,N1,9,,,1,,,,,,4,,1,1,,4,,,,,,,219,,,Y,N1,A2200046,2,,29,4,15,,59,,,,,강원특별자치도,속초시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인성심의료재단양구성심병원,033-480-8816,A2200037,,Y,,,,,1,,,,,Y,Y,,Y,N1,N1,Y,5,N1,27,N1,20260526115451,Y,N1,,,N1,5,,1,,,,,,,,1,1,,,1,,1,,,,,52,,,Y,N1,A2200037,1,,,,,,,,,,,강원특별자치도,양구군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도영월의료원,033-370-9129,A2200002,,Y,,,,,,,,,,Y,Y,,Y,N1,N1,Y,9,N1,37,N1,20260526115001,Y,Y,,2,N1,9,,,,,,,,,2,1,1,1,,7,,3,,,,,174,,,Y,N1,A2200002,1,0,,2,10,2,,,1,2,,강원특별자치도,영월군,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연세대학교원주세브란스기독병원,033-741-1641,A2200001,Y,Y,1,,4,3,2,3,2,0,13,Y,Y,Y,Y,Y,Y,Y,12,Y,118,Y,20260526114500,Y,Y,9,2,Y,29,3,2,3,20,15,12,19,30,15,2,5,4,7,100,12,25,16,7,13,4,618,2,,Y,Y,A2200001,1,,15,,,,24,,,,,강원특별자치도,원주시,,,1,8,2,2,0,2,6,1,15,20,40,2,4,8,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
