dutyName,dutyTel3,hpid,hv10,hv11,hv13,hv14,hv16,hv17,hv18,hv19,hv21,hv22,hv23,hv24,hv25,hv26,hv28,hv29,hv30,hv31,hv35,hv36,hv40,hv41,hv42,hv43,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvicc,hvidate,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs08,hvs17,hvs18,hvs19,hvs22,hvs24,hvs25,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs36,hvs37,hvs38,hvs46,hvs47,hvs49,hvs50,hvs51,hvs52,hvs53,hvs54,hvs55,hvs56,hvs57,hvs58,hvventiayn,hvventisoayn,phpid,rnum,hv2,hv3,hv34,hvs06,hvs07,hvs15,hv27,hvs59,hvccc,hvs16,query_sido,query_sigungu,hvcc,hvs11,hv61,hvs61,hv6,hvs12,hv32,hvs09,hv15,hv33,hv37,hvs10,hvs20,hvs48,hv38,hv9,hvs14,hvs21,hv39,hv60,hvs23,hvs60
의료법인명지의료재단명지병원,031-810-7119,A2100042,Y,Y,3,2,3,0,0,1,0,0,0,0,0,0,0,0,1,4,4,18,0,0,Y,Y,Y,Y,Y,Y,Y,Y,8,Y,198,Y,9,20260524122500,Y,Y,3,13,Y,15,0,0,3,16,3,31,4,28,13,0,0,2,6,3,5,49,4,5,8,5,2,1,2,443,3,2,3,4,3,2,0,0,0,0,0,0,Y,Y,A2100042,1,,,,,,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
국민건강보험공단일산병원,031-900-0761,A2100033,Y,Y,,,,1,,1,,0,0,,0,0,3,2,3,4,8,5,11,2,Y,,Y,Y,Y,Y,Y,Y,15,Y,190,N1,,20260524122503,Y,Y,0,1,N1,23,5,2,3,19,20,,11,29,2,28,4,2,4,3,3,60,8,28,13,5,,,,648,,,,1,,1,,0,0,,0,0,Y,Y,A2100033,2,1,6,6,10,16,6,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
동국대학교일산불교병원,031-961-7777,A2100047,Y,Y,,,,,,,,,,,,,3,1,2,,0,,8,0,Y,,Y,Y,Y,Y,Y,Y,7,Y,273,Y,,20260524122456,Y,Y,11,11,N1,19,3,1,3,,13,,4,,12,15,0,8,2,2,2,19,13,25,4,2,1,,,522,,,,,,,,,,,,,Y,Y,A2100047,3,6,15,,16,20,,3,3,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
인제대학교일산백병원,031-910-7114,A2100038,N,N,,,,,,,,,,,,,,3,1,,2,,6,1,Y,,Y,Y,Y,Y,Y,Y,23,Y,217,Y,,20260524122231,N,Y,,17,N1,34,,3,3,,,,4,,17,16,2,3,3,3,4,53,18,22,7,3,1,,,534,,,,,,,,,,,,,Y,N,A2100038,4,0,2,,25,32,,,,2,4,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
의료법인자인의료재단(더자인병원),031-930-3119,A2100290,,,,,,,,,,,,,,,,2,2,,,,,,,,Y,Y,Y,Y,N1,Y,15,N1,89,N1,,20260524122525,N1,N,,5,N1,16,,2,2,,,,,,5,,,,2,2,1,15,,,,,,,,250,,,,,,,,,,,,,Y,N1,A2100290,5,,,,,,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
국립암센터,031-920-0119,A2100049,,N,,,,,,,,,,,,,,,1,,9,,,,,,Y,Y,Y,Y,Y,Y,10,Y,131,Y,9,20260524122400,N,Y,,18,N1,24,,,1,,,19,9,,18,,,,7,5,3,29,,1,8,2,7,,,554,,,,,,,,,,,,,Y,N1,A2100049,6,,,,,,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
의료법인성광의료재단일산차병원,031-782-8587,A2116972,Y,Y,,,,,,,,,,,,,,,4,,1,,,1,Y,,,,Y,N1,N1,N1,5,N1,92,N1,3,20260524122109,Y,N1,0,10,N1,6,,,4,,17,4,1,,10,,1,9,,,,4,11,19,,,,,,179,,,,,,,,,,,,,Y,Y,A2116972,7,,,,,,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,
중앙대학교광명병원,02-2222-1351,A2118788,Y,Y,0,0,,,,,,,,,,,,1,2,,3,,,0,Y,,Y,Y,Y,Y,Y,Y,12,Y,283,Y,8,20260524122507,Y,Y,3,17,N1,21,,1,2,,16,24,6,,17,,2,2,2,2,5,28,6,16,5,4,10,,,584,0,0,,,,,,,,,,,Y,Y,A2118788,1,,,2,,,5,,,,,경기도,광명시,1,5,,,,,,,,,,,,,,,,,,,,
광명성애병원,02-2680-7116,A2100007,Y,Y,,,,,,,,,,,,21,4,1,4,,0,,,,Y,,Y,Y,Y,Y,Y,Y,6,N1,76,N1,9,20260524122455,Y,Y,,5,N1,11,4,1,4,,,13,1,,5,,,2,2,2,1,12,2,5,1,,,,,189,,,,,,,,,,,,50,Y,Y,A2100007,2,,,,,,,,,,,경기도,광명시,,,,,,,,,,,,,,,,,,,,,,
참조은병원,031-881-9119,A2100155,,,,,,,,,,,,0,0,,1,1,3,,0,,,1,,,Y,Y,Y,Y,Y,Y,1,N1,72,Y,0,20260524122257,N1,Y,,7,N1,9,1,1,3,,,24,1,,7,,2,,3,3,2,18,,,3,,2,,,286,,,,,,,,,,0,0,,Y,N1,A2100155,1,,,,,,,6,6,,,경기도,광주시,,,,,,,,,,,,,,,,,,,,,,
