realtime_hospital_name,realtime_emergency_tel,hpid,pediatric_ventilator_status,incubator_status,avail_er_dedicated_icu_negative_pressure,avail_er_dedicated_icu_general_isolation,avail_icu_internal_medicine,avail_pediatric_beds,avail_er_negative_pressure_isolation_beds,avail_icu_surgery,avail_er_general_isolation_beds,avail_er_dedicated_icu,avail_er_dedicated_inpatient_beds,delivery_room_status,ct_status,angio_status,available_ambulance_yn,available_angio_yn,available_crrt_yn,available_ct_yn,avail_er_general_beds,available_ecmo_yn,avail_inpatient_general_beds,available_targeted_temperature_management_yn,realtime_updated_at,available_incubator_yn,available_mri_yn,avail_icu_neonatal,avail_operating_rooms,available_hyperbaric_oxygen_yn,standard_er_general_beds,standard_pediatric_beds,standard_er_negative_pressure_isolation_beds,standard_er_general_isolation_beds,standard_er_dedicated_icu,standard_icu_internal_medicine,standard_icu_surgery,standard_icu_neonatal,standard_er_dedicated_inpatient_beds,standard_operating_rooms,standard_delivery_rooms,standard_ct,standard_mri,standard_angio,standard_ventilator_general,standard_ventilator_premature,standard_incubator,standard_crrt,standard_ecmo,standard_targeted_temperature_management,standard_hyperbaric_oxygen,standard_inpatient_general_beds,standard_er_dedicated_icu_negative_pressure,standard_er_dedicated_icu_general_isolation,available_ventilator_yn,available_ventilator_premature_yn,old_hpid,avail_icu_negative_pressure_isolation,avail_psychiatric_closed_ward_beds,avail_icu_general,standard_icu_general,standard_icu_negative_pressure_isolation,standard_psychiatric_closed_ward_beds,avail_infection_moderate_beds,avail_inpatient_negative_pressure_isolation,standard_inpatient_negative_pressure_isolation,standard_infection_moderate_beds,query_sido,query_sigungu,avail_cohort_isolation,standard_cohort_isolation,avail_infection_severe_beds,avail_infection_semi_severe_beds,avail_trauma_dedicated_inpatient_beds,avail_trauma_dedicated_operating_rooms,avail_icu_neurosurgery,avail_trauma_resuscitation_room,avail_trauma_patient_care_area,avail_icu_trauma,standard_icu_neurosurgery,standard_icu_trauma,standard_trauma_dedicated_inpatient_beds,standard_trauma_dedicated_operating_rooms,standard_infection_severe_beds,standard_infection_semi_severe_beds,standard_trauma_resuscitation_room,standard_trauma_patient_care_area,avail_burn_treatment_room,standard_burn_treatment_room,avail_isolation_negative_pressure_area_beds,avail_isolation_general_area_beds,avail_icu_neurology,standard_icu_neurology,standard_isolation_negative_pressure_area_beds,standard_isolation_general_area_beds,avail_icu_pediatric,avail_icu_cardiology,standard_icu_pediatric,standard_icu_cardiology,avail_pediatric_general_isolation,avail_er_dedicated_inpatient_negative_pressure,avail_er_dedicated_inpatient_general_isolation,avail_infectious_disease_icu_beds,avail_infectious_disease_icu_negative_pressure_beds,standard_pediatric_general_isolation,standard_er_dedicated_inpatient_negative_pressure,standard_er_dedicated_inpatient_general_isolation,standard_infectious_disease_icu_beds,standard_infectious_disease_icu_negative_pressure_beds,avail_icu_thoracic_surgery,standard_icu_thoracic_surgery,avail_pediatric_negative_pressure_isolation,avail_er_dedicated_pediatric_icu,avail_er_dedicated_pediatric_inpatient_beds,standard_er_dedicated_pediatric_icu,standard_er_dedicated_pediatric_inpatient_beds,standard_pediatric_negative_pressure_isolation,collected_at
강릉아산병원,033-610-3333,A2200008,Y,Y,0.0,1.0,4.0,3.0,2.0,5.0,3.0,6.0,21.0,Y,Y,Y,Y,Y,Y,Y,8,Y,170.0,Y,20260523193415,Y,Y,0.0,14.0,Y,23.0,3.0,2.0,3.0,18.0,14.0,16.0,13.0,38.0,15.0,2.0,4.0,3.0,4.0,33.0,8.0,12.0,8.0,5.0,1.0,2.0,596.0,1.0,6.0,Y,Y,A2200008,,,,,,,,,,,강원특별자치도,강릉시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인강릉동인병원,033-650-6105,A2200005,,,,,2.0,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,14,N1,95.0,N1,20260523193444,N1,Y,,5.0,N1,17.0,,1.0,2.0,,12.0,,,,5.0,,2.0,1.0,1.0,14.0,,,1.0,,,,248.0,,,Y,N1,A2200005,2.0,9.0,1.0,12.0,2.0,101.0,,,,,강원특별자치도,강릉시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
강원특별자치도강릉의료원,033-610-1234,A2200011,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,0,N1,33.0,N1,20260523193501,N1,Y,,2.0,N1,5.0,,,1.0,,,,,,2.0,,1.0,1.0,,4.0,,,,,,,122.0,,,Y,N1,A2200011,,,3.0,8.0,,,20.0,5.0,5.0,20.0,강원특별자치도,강릉시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인동해동인병원,033-530-0129,A2200003,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,7,N1,38.0,N1,20260523193451,N1,Y,,2.0,N1,10.0,,,1.0,,,,,,2.0,,1.0,1.0,,7.0,,,,,,,178.0,,,Y,N1,A2200003,1.0,56.0,7.0,19.0,1.0,110.0,,,,,강원특별자치도,동해시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
강원특별자치도삼척의료원,033-571-0431,A2200007,,Y,,,,1.0,2.0,,1.0,,,Y,Y,,Y,N1,Y,Y,14,N1,95.0,N1,20260523193502,Y,Y,,4.0,Y,16.0,1.0,2.0,1.0,,,,,,4.0,1.0,1.0,1.0,,3.0,,3.0,1.0,,,3.0,192.0,,,Y,N1,A2200007,,,1.0,10.0,,,,4.0,4.0,,강원특별자치도,삼척시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
강원특별자치도속초의료원,033-630-6036,A2200012,Y,Y,,,,,2.0,,1.0,,,Y,Y,,Y,N1,N1,Y,16,N1,53.0,N1,20260523193502,Y,Y,,3.0,N1,17.0,,2.0,1.0,,,,,,3.0,2.0,1.0,1.0,,7.0,1.0,1.0,,,,,154.0,,,Y,Y,A2200012,,,0.0,8.0,,,,,,,강원특별자치도,속초시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인온세움의료재단온재병원,033-639-8988,A2200046,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,9,N1,87.0,N1,20260523193449,N1,Y,,4.0,N1,9.0,,,1.0,,,,,,4.0,,1.0,1.0,,4.0,,,,,,,219.0,,,Y,N1,A2200046,,29.0,1.0,15.0,,59.0,,,,,강원특별자치도,속초시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인성심의료재단양구성심병원,033-480-8816,A2200037,,Y,,,,,1.0,,,,,Y,Y,,Y,N1,N1,Y,4,N1,29.0,N1,20260523193445,Y,N1,,,N1,5.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,52.0,,,Y,N1,A2200037,,,,,,,,,,,강원특별자치도,양구군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
강원특별자치도영월의료원,033-370-9129,A2200002,,Y,,,,,,,,,,Y,Y,,Y,N1,N1,Y,9,N1,38.0,N1,20260523193001,Y,Y,,2.0,N1,9.0,,,,,,,,,2.0,1.0,1.0,1.0,,7.0,,3.0,,,,,174.0,,,Y,N1,A2200002,0.0,,2.0,10.0,2.0,,,1.0,2.0,,강원특별자치도,영월군,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
연세대학교원주세브란스기독병원,033-741-1641,A2200001,Y,Y,2.0,,7.0,2.0,2.0,6.0,3.0,5.0,17.0,Y,Y,Y,Y,Y,Y,Y,15,Y,245.0,Y,20260523192501,Y,Y,7.0,13.0,Y,29.0,3.0,2.0,3.0,20.0,15.0,12.0,19.0,30.0,15.0,2.0,5.0,4.0,7.0,100.0,12.0,25.0,16.0,7.0,13.0,4.0,618.0,2.0,,Y,Y,A2200001,,15.0,,,,24.0,,,,,강원특별자치도,원주시,,,3.0,8.0,4.0,2.0,3.0,2.0,6.0,2.0,15.0,20.0,40.0,2.0,4.0,8.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
