dutyName,hpid,MKioskTy1,MKioskTy10,MKioskTy11,MKioskTy12,MKioskTy13,MKioskTy14,MKioskTy15,MKioskTy16,MKioskTy17,MKioskTy18,MKioskTy19,MKioskTy2,MKioskTy20,MKioskTy21,MKioskTy22,MKioskTy23,MKioskTy24,MKioskTy25,MKioskTy26,MKioskTy27,MKioskTy28,MKioskTy3,MKioskTy4,MKioskTy5,MKioskTy6,MKioskTy7,MKioskTy8,MKioskTy9,MKioskTy10Msg,MKioskTy12Msg,MKioskTy15Msg,MKioskTy27Msg,query_sido,query_sigungu,MKioskTy14Msg
의료법인강릉동인병원,A2200005,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,강릉시,
강원특별자치도강릉의료원,A2200011,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,강릉시,
강릉아산병원,A2200008,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,불가능,불가능,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,연령제한없음,1세이상,1800g(32주) 이상,연령제한없음,강원특별자치도,강릉시,
의료법인동해동인병원,A2200003,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,동해시,
강원특별자치도삼척의료원,A2200007,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,,,,,강원특별자치도,삼척시,
강원특별자치도속초의료원,A2200012,정보미제공,정보미제공,불가능,정보미제공,정보미제공,정보미제공,정보미제공,불가능,불가능,불가능,불가능,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,불가능,정보미제공,정보미제공,불가능,정보미제공,불가능,,,,,강원특별자치도,속초시,
의료법인온세움의료재단온재병원,A2200046,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,속초시,
의료법인성심의료재단양구성심병원,A2200037,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,양구군,
강원특별자치도영월의료원,A2200002,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,영월군,
강원특별자치도원주의료원,A2200015,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,원주시,
의료법인성지의료재단성지병원,A2200024,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,,,,,강원특별자치도,원주시,
연세대학교원주세브란스기독병원,A2200001,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,"4개월, 6kg",만 4세,"초극소저체중출생아, 1000g",,강원특별자치도,원주시,만 4세
근로복지공단정선병원,A2200048,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,정선군,
철원병원,A2201730,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,철원군,
강원대학교병원,A2200009,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,Y,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,부분가능/1세 이상,부분가능/10kg 이상,500g이상(24주이상),연령제한 없음,강원특별자치도,춘천시,
한림대학교춘천성심병원,A2200013,Y,Y,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,Y,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,만 1세 이상,만 1세 이상,,,강원특별자치도,춘천시,
근로복지공단태백병원,A2200004,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,태백시,
평창군보건의료원,E2200026,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,평창군,
홍천아산병원,A2200014,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,홍천군,
화천군보건의료원,E2200025,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,화천군,
횡성대성병원,A2200016,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,강원특별자치도,횡성군,
의료법인자인의료재단(더자인병원),A2100290,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,고양시,
의료법인명지의료재단명지병원,A2100042,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"정복술-모든연령가능, 외과적수술-만7세이상 20kg이상 가능",모든연령 가능,1500g 이상가능,모든연령 가능,경기도,고양시,
동국대학교일산불교병원,A2100047,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,정보미제공,48개월 까지 가능,,2.5Kg 미만,,경기도,고양시,
국민건강보험공단일산병원,A2100033,Y,Y,Y,Y,Y,정보미제공,Y,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,,5세 이상 진료가능,1750g,,경기도,고양시,
국립암센터,A2100049,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,고양시,
의료법인성광의료재단일산차병원,A2116972,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,고양시,
인제대학교일산백병원,A2100038,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,Y,Y,정보미제공,Y,제한없음,"10kg,이물제거만가능",23주 and 400g이상,제한없음,경기도,고양시,
중앙대학교광명병원,A2118788,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,,,진료가능 최저연령 또는 최저체중 제한없음,,경기도,광명시,
광명성애병원,A2100007,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,12month 이상,,2300g 이상,,경기도,광명시,
참조은병원,A2100155,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,,,,,경기도,광주시,
한양대학교구리병원,A2100039,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,Y,Y,Y,"0세, 3kg 이상. 수술적 처치는 안 됨",,37주 0일 2.5kg이하,,경기도,구리시,
효산의료재단지샘병원,A2100054,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,,,,,경기도,군포시,
원광대학교산본병원,A2100048,불가능,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,정보미제공,불가능,Y,Y,3개월 이상,,,,경기도,군포시,
의료법인우리의료재단김포우리병원,A2100053,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,Y,Y,정보미제공,Y,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,"6개월부터, 6kg 이상",,,,경기도,김포시,
의료법인인봉의료재단뉴고려병원,A2100006,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,,,,,경기도,김포시,
남양주한양병원,A2100041,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,불가능,불가능,정보미제공,정보미제공,Y,Y,Y,,,,,경기도,남양주시,
현대병원,A2100037,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,,,,,경기도,남양주시,
엘병원,A2118188,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,남양주시,
부천세종병원,A2100055,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,불가능,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,0세이상/ 3kg 이상,,,"평일주간에만 가능/ 0세이상, 3kg 이상 가능",경기도,부천시,
가톨릭대학교부천성모병원,A2100052,Y,정보미제공,Y,불가능,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,불가능,Y,불가능,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,,,36주이상 수용가능,sedation가능시 시술가능,경기도,부천시,
순천향대학교부속부천병원,A2100005,Y,Y,Y,불가능,Y,정보미제공,Y,Y,Y,Y,Y,불가능,Y,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,불가능,불가능,Y,Y,Y,Y,Y,제한없음,최저연령:0세,최저체중:400g,,경기도,부천시,
의료법인대인의료재단 다니엘종합병원,A2100050,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,부천시,
분당서울대학교병원,A2100001,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"최저 연령,체중: 제한없음,소아청소년과,영상의학과 협진","부분가능: 평일8시~17시 가능 위장관이물,급성출혈,그 외 의료진이 판단한 경우 가능.최저연령:제한없음.최저체중:2.5kg","최저 연령,체중: 제한없음","최저 연령,체중: 제한없음",경기도,성남시,"최저 연령,체중: 제한없음 중환자실 부족 시 수용 불가능"
